Assembly	out_JBAT.FINAL
# contigs (>= 0 bp)	196
# contigs (>= 1000 bp)	196
# contigs (>= 5000 bp)	196
# contigs (>= 10000 bp)	196
# contigs (>= 25000 bp)	180
# contigs (>= 50000 bp)	53
Total length (>= 0 bp)	305238177
Total length (>= 1000 bp)	305238177
Total length (>= 5000 bp)	305238177
Total length (>= 10000 bp)	305238177
Total length (>= 25000 bp)	304896358
Total length (>= 50000 bp)	300289961
# contigs	196
Largest contig	60427462
Total length	305238177
GC (%)	35.90
N50	48440619
N75	26101642
L50	3
L75	5
# N's per 100 kbp	1.18
